Season,Team,Champion,GP,W,L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
2015-16,Chicago Bulls,FALSE,82,42,40,101.6,38.6,87.4,44.1,7.9,21.4,37.1,16.5,21,78.7,11.1,35.2,46.3,22.8,6,5.7,13.9,18.8
2015-16,Memphis Grizzlies,FALSE,82,42,40,99.1,36.8,83.6,44,6.1,18.5,33.1,19.3,24.7,78.3,11.2,30.5,41.6,20.7,8.8,4.3,13.3,21.7
2015-16,Houston Rockets,FALSE,82,41,41,106.5,37.7,83.5,45.2,10.7,30.9,34.7,20.4,29.4,69.4,11.3,31.7,43.1,22.2,10,5.2,15.9,21.8
2015-16,Washington Wizards,FALSE,82,41,41,104.1,39.5,85.8,46,8.6,24.2,35.8,16.5,22.5,73,9.1,32.8,41.8,24.5,8.6,3.9,14.5,20.8
2015-16,Utah Jazz,FALSE,82,40,42,97.7,36.1,80.4,44.9,8.5,23.9,35.5,17.1,23,74.4,10.7,32.5,43.2,19,7.7,5.2,14.9,20.2
2015-16,Orlando Magic,FALSE,82,35,47,102.1,39.5,86.8,45.5,7.8,22.2,35,15.2,20.1,75.7,10.3,33,43.3,23.6,8.2,5.1,14.1,20.7
2015-16,Milwaukee Bucks,FALSE,82,33,49,99,38.4,82.2,46.7,5.4,15.6,34.5,17,22.7,74.8,10.5,31.2,41.7,23.1,8.2,5.8,15.2,20.7
2015-16,Denver Nuggets,FALSE,82,33,49,101.9,37.7,85.4,44.2,8,23.7,33.8,18.5,24.1,76.6,11.5,33.1,44.6,22.7,7.4,4.8,14.7,21
2015-16,Sacramento Kings,FALSE,82,33,49,106.6,40,86.4,46.4,8,22.4,35.9,18.5,25.5,72.5,10.6,33.7,44.2,24.5,8.9,4.5,16.2,20.4
2015-16,New York Knicks,FALSE,82,32,50,98.4,36.9,84,43.9,7.4,21.5,34.6,17.2,21.4,80.5,10.4,34,44.4,20.5,5.7,5.7,13.4,19.7
2015-16,New Orleans Pelicans,FALSE,82,30,52,102.7,38.5,85.9,44.8,8.6,23.8,36,17.3,22.2,77.6,9.5,33.1,42.6,22.2,7.7,4.2,13.4,20.9
2015-16,Minnesota Timberwolves,FALSE,82,29,53,102.4,37.7,81.3,46.4,5.5,16.4,33.8,21.4,27,79.2,10,31.5,41.6,23.4,8,4.6,15,20.7
2015-16,Phoenix Suns,FALSE,82,23,59,100.9,37.2,85.6,43.5,9,25.8,34.8,17.5,23.2,75.1,11.5,33.3,44.8,20.7,7.7,3.8,17.2,22.7
2015-16,Brooklyn Nets,FALSE,82,21,61,98.6,38.2,84.4,45.3,6.5,18.4,35.2,15.7,20.7,75.7,10.5,31.9,42.4,22.3,7.6,4,14.8,18
2015-16,Los Angeles Lakers,FALSE,82,17,65,97.3,35.1,84.8,41.4,7.8,24.6,31.7,19.3,24.7,78.1,10.7,32.3,43,18,7.2,4.1,13.7,20.3
2015-16,Philadelphia 76ers,FALSE,82,10,72,97.4,36.2,84,43.1,9.3,27.5,33.9,15.7,22.6,69.4,9.5,31.8,41.2,21.5,8.3,6,16.4,21.7
